Date,Description,Amount,SourceCategory,Category,Subcategory
02/01/2024,Indfor INCOME INDO REMI08011,1000,Paycheck,,
02/01/2024,INDO GIBL Indiaforensic STL08011,1000,Paycheck,,
02/05/2024,FDRL/INTERNAL FUND TRANSFE,-200,Other,,
02/08/2024,FDRL/INTERNAL FUND TRANSFE,-8000,Other,,
02/15/2024,BBPS DT 09012019,-10000,Other,,
02/16/2024,FDRL/INTERNAL FUND TRANSFE,-200,Other,,
02/01/2024,ICA 17825 Indiaforensic MC DOM 0,-6000,Merchandise,,
02/02/2024,FDRL/INTERNAL FUND TRANSFE,-7000,Merchandise,,
02/02/2024,FDRL/INTERNAL FUND TRANSFE,-400,Merchandise,,
02/02/2024,Indiaforensic VISA ACQ DOM090119,-2000,Restaurants,,
02/03/2024,Indiaforensic RUPAY POS ACQ09011,-9000,Merchandise,,
02/04/2024,Indiaforensic RUPAY POS C2 ACQ09,-400,Merchandise,,
02/04/2024,Indiaforensic VISA ACQ INT 05011,-5000,Merchandise,,
02/05/2024,Indiaforensic VISA ACQ INT 06011,-8700,Gasoline,,
02/05/2024,Indiaforensic VISA ACQ INT 07011,-300,Supermarkets,,
02/06/2024,FDRL/INTERNAL FUND TRANSFE,-2000,Services,,
02/08/2024,FDRL/INTERNAL FUND TRANSFE,-1000,Merchandise,,
02/08/2024,FDRL/INTERNAL FUND TRANSFE,-9000,Services,,
02/09/2024,FDRL/INTERNAL FUND TRANSFE,-5500,Merchandise,,
02/11/2024,Indiaforensic RUP SETT 090119,-300,Supermarkets,,
02/13/2024,Indiaforensic RUP SETT 090119,-7000,Merchandise,,
02/13/2024,Indiaforensic RUP STL INTC090119,-8000,Merchandise,,
02/13/2024,Indiaforensic RUP STL INTC090119,-500,Services,,
